mots,occurrences
franc,34
france,33
année,26
bien,19
sent,16
bonne,15
français,14
monde,14
souhait,14
europe,13
politique,12
nation,12
vivre,12
forme,12
fort,12
souhaite,11
pays,11
travail,11
nouvel,11
compatriotes,11
main,11
mieux,10
peuple,10
grand,10
temps,9
droit,9
paix,9
publique,9
jeunes,9
sociale,9
réforme,9
pense,9
ensemble,9
jour,9
part,9
gouvernement,8
etat,8
faire,8
mille,8
national,8
voeu,8
porte,8
force,7
chômage,7
famille,7
république,7
difficile,7
gagne,7
prise,7
aide,7
pauvre,7
repris,7
libre,7
aura,6
pouvoir,6
sécurité,6
mois,6
effort,6
sort,6
liberté,6
espoir,6
crise,6
unis,6
soin,6
fond,6
cher,6
histoire,5
nationale,5
besoin,5
moyen,5
faudra,5
droits,5
inflation,5
produire,5
défense,5
forces,5
parle,5
grande,5
volonté,5
tiers,5
forts,5
dépend,5
soir,5
entrepris,5
porter,5
objectif,5
seul,5
justice,5
nouvelle,5
crois,5
démocratie,5
métropole,4
réformes,4
responsabilité,4
moyens,4
formation,4
condition,4
confiance,4
reprise,4
première,4
peuples,4
patrie,4
jamais,4
aujourd,4
solidarité,4
unit,4
voeux,4
etats,4
jeunesse,4
souffre,4
assure,4
autour,4
équilibre,4
extérieur,4
homme,4
heure,4
tolérance,4
esprit,4
laisse,4
grave,4
aime,4
injustice,4
puissance,4
montré,4
rendez,4
nouveau,4
recul,3
voulu,3
économique,3
départements,3
unité,3
paris,3
promis,3
pauvres,3
économie,3
handicapés,3
grandes,3
juste,3
champ,3
cinquième,3
semaine,3
retraite,3
emploi,3
travailleurs,3
femmes,3
entreprise,3
salariés,3
faisons,3
gagner,3
donne,3
cesser,3
sait,3
assurer,3
choix,3
emporte,3
puissances,3
sortir,3
communauté,3
lutte,3
ordre,3
solitude,3
souffrent,3
entendu,3
action,3
tradition,3
occasion,3
amérique,3
vérité,3
connu,3
avenir,3
propose,3
deuxième,3
enfant,3
devoir,3
possible,3
savoir,3
grands,3
réussir,3
mesure,3
laisser,3
française,3
place,3
bientôt,3
sache,3
intérêt,3
raison,3
continue,3
pauvreté,3
vite,3
mission,3
pire,3
rendre,3
compte,3
libres,3
route,3
mobilise,3
unir,3
moderne,3
posé,3
inutile,3
nature,3
industrie,3
constate,3
élection,3
culture,3
seule,2
changement,2
concours,2
élections,2
proposé,2
domination,2
respect,2
largement,2
propres,2
verrez,2
nécessaire,2
croissance,2
allocation,2
achat,2
certaines,2
oublier,2
impôt,2
société,2
étendre,2
libertés,2
lois,2
prochain,2
janvier,2
voulons,2
salaire,2
nouveaux,2
pierre,2
attends,2
initiative,2
nécessité,2
marché,2
intérieur,2
meilleure,2
efforts,2
périls,2
cadre,2
construction,2
désarmement,2
collective,2
emporter,2
permettra,2
confondre,2
désir,2
pologne,2
aspiration,2
objectifs,2
écouté,2
cessé,2
faim,2
passe,2
mondial,2
parole,2
françaises,2
chagrins,2
fêter,2
venons,2
aggrave,2
total,2
dépit,2
industriel,2
hommes,2
hésite,2
raisons,2
montre,2
métier,2
rassemble,2
élan,2
solidaire,2
congés,2
payés,2
agriculteurs,2
âgées,2
