mots,occurrences
franc,40
france,34
europe,33
uni,28
voir,26
loi,25
pay,23
compatriote,20
année,20
grand,19
venir,18
part,18
nation,18
voeu,17
peuple,16
pays,16
droit,15
bien,13
nouveau,12
commun,12
social,12
fort,12
rendre,12
mieux,11
européen,11
mois,11
prendre,11
paix,11
guerre,11
républiqu,11
français,10
fier,10
etat,10
bon,10
heure,10
vie,10
liberté,9
faire,9
national,9
politique,9
monde,9
forme,9
sécurité,9
parti,9
mettre,9
unir,9
travail,9
tal,9
république,8
dernier,8
cher,8
pouvoir,8
connaître,8
heureux,7
chômage,7
souhaiter,7
vivre,7
place,7
ensemble,7
histoire,7
attendre,7
besoin,7
rang,7
soldat,7
organ,7
présent,7
pose,7
croire,6
gouvernement,6
vouloir,6
chance,6
exemple,6
appel,6
doute,6
force,6
courage,6
poser,6
communauté,6
loin,6
union,6
tenir,6
savoir,6
idé,6
reprise,6
arme,6
siècl,6
donne,6
soir,5
homme,5
combat,5
siècle,5
demande,5
temps,5
engager,5
général,5
croissance,5
emploi,5
effort,5
vrai,5
pire,5
profit,5
pauvre,5
rôle,5
économique,5
accord,5
chose,5
justice,5
permettre,5
aimer,5
trouver,5
allemagn,5
prochain,5
espérer,5
tour,5
strasbourg,4
isl,4
acte,4
démocrati,4
devoir,4
revenir,4
fond,4
coeur,4
paraître,4
souffrir,4
valoir,4
porter,4
demain,4
million,4
libre,4
travailler,4
risque,4
terre,4
comprendre,4
donner,4
désarmement,4
espoir,4
égalité,4
moral,4
oublier,4
commencer,4
jour,4
condition,4
ouest,4
tandis,4
voeux,4
reculer,4
public,4
penser,4
menace,4
soviétique,4
conseil,4
dialogue,4
présente,4
premier,4
solidarité,4
intérêt,4
particulier,4
solidaire,4
laisse,4
bientôt,4
jeune,4
veille,4
cours,4
viol,4
appeler,4
adresse,4
logi,4
chant,3
raison,3
présenter,3
laisser,3
compte,3
continuer,3
professionnel,3
choisir,3
justifier,3
réveil,3
logement,3
moyen,3
créer,3
partager,3
justement,3
énergie,3
capable,3
organiser,3
espac,3
accroître,3
riche,3
gagner,3
mot,3
espérance,3
produit,3
second,3
événement,3
rappeler,3
souffrance,3
suite,3
décider,3
servir,3
continent,3
organisation,3
former,3
principe,3
demander,3
économie,3
formation,3
recevoir,3
écouter,3
peine,3
placer,3
koweit,3
irak,3
faible,3
bout,3
international,3
question,3
israël,3
sagesse,3
moment,3
difficile,3
traité,3
unité,3
frontièr,3
base,3
sens,3
position,3
étranger,3
nombre,3
gard,3
succès,3
algérie,3
jamais,3
misère,3
image,3
tribu,3
monnaie,3
ajouter,3
douter,3
entreprise,3
constater,3
aider,3
audac,3
élection,3
mars,3
veiller,3
viser,3
exclusion,3
multiplier,3
logique,3
puissance,3
ligne,3
ordre,3
sentir,3
éclat,3
malheur,3
plan,3
inégal,3
lutt,3
passer,3
patrie,2
capital,2
fêter,2
millénaire,2
ville,2
proclamer,2
idée,2
principer,2
inspirer,2
message,2
rester,2
exclure,2
peau,2
parlement,2
augmenter,2
acquérir,2
disposition,2
législatif,2
équitable,2
marquer,2
discussion,2
début,2
difficulté,2
quotidien,2
salair,2
richesse,2
occasion,2
inégalité,2
autour,2
idéal,2
fonder,2
enjeu,2
service,2
assurer,2
créateur,2
craindre,2
monétaire,2
dimension,2
japon,2
dépit,2
drame,2
terrain,2
révolution,2
défense,2
dépasser,2
mondial,2
falloir,2
gorbatchev,2
oppression,2
assister,2
pareil,2
tragique,2
payer,2
subir,2
long,2
nuit,2
obstacle,2
évident,2
hier,2
superpuissance,2
rentrer,2
réponse,2
avenir,2
alliance,2
réunir,2
allemand,2
frontière,2
tendance,2
retrouver,2
étape,2
structure,2
référence,2
confédération,2
terme,2
échange,2
enfermer,2
modèle,2
sein,2
montre,2
protection,2
entendre,2
pauvreter,2
extension,2
mériter,2
offrir,2
normal,2
région,2
golfe,2
confiance,2
occuper,2
planète,2
membre,2
empêcher,2
état,2
cause,2
orient,2
septembre,2
devenir,2
ouvrir,2
cadre,2
palestinien,2
entente,2
oeuvre,2
présidence,2
signer,2
garantir,2
doter,2
division,2
aller,2
pourtant,2
exprimer,2
afriqu,2
nord,2
noir,2
situation,2
jeunesse,2
péril,2
concurrent,2
dur,2
initiative,2
épargner,2
large,2
envie,2
ambition,2
cherche,2
côté,2
froid,2
adresser,2
yougoslavi,2
arrêter,2
arbitrag,2
reconnaître,2
indépendanc,2
inquiétude,2
amorc,2
armé,2
déchirer,2
enthousiasmer,2
découverte,2
amériqu,2
signal,2
angoisse,2
désordre,2
tire,2
inflation,2
agir,2
chef,2
préparer,2
responsable,2
