mots,occurrences
europe,11
emploi,8
venir,7
nation,6
société,6
compatriotes,5
gouvernement,5
avenir,5
croissance,5
temps,5
année,5
service,5
aide,4
action,4
permettre,4
france,4
soir,3
soutien,3
humanitaire,3
moyens,3
activité,3
nations,3
faire,3
paix,3
première,3
pris,3
dynamisme,3
réforme,3
force,3
industrie,3
métropole,2
étranger,2
pensées,2
victimes,2
familles,2
entière,2
solidarité,2
français,2
appel,2
populations,2
tragédie,2
point,2
destin,2
retrouver,2
aider,2
renforcer,2
lutter,2
place,2
reprise,2
rapide,2
pays,2
années,2
restaurer,2
valeurs,2
république,2
venu,2
projet,2
innovation,2
longtemps,2
unie,2
chances,2
constitution,2
européenne,2
volontaire,2
sociaux,2
choix,2
engage,2
travail,2
meilleure,2
continuer,2
baisse,2
voulu,2
ensemble,2
mobilise,2
sociale,2
public,2
emplois,2
demain,2
industriels,2
avance,2
enfant,2
prépare,2
nouvelle,2
courage,2
bouleversés,1
terrible,1
catastrophe,1
semé,1
mort,1
horreur,1
océan,1
indien,1
proches,1
brisée,1
blessés,1
aimée,1
profonde,1
immédiatement,1
apporter,1
assistance,1
salue,1
magnifique,1
élan,1
françaises,1
engagent,1
répondent,1
masse,1
associations,1
humanitaires,1
ressent,1
aujourd,1
distances,1
formons,1
seule,1
humanité,1
distingue,1
planète,1
urgence,1
risques,1
épidémies,1
mettent,1
exceptionnels,1
dette,1
reconstruction,1
régions,1
dévastées,1
perdu,1
pouvons,1
évidemment,1
séismes,1
dépend,1
prévenir,1
conséquences,1
impliquera,1
unies,1
dispositifs,1
alerte,1
efficaces,1
organisent,1
réaction,1
casques,1
bleus,1
parler,1
demi,1
préserver,1
solidarités,1
soutenue,1
autorité,1
état,1
déployer,1
ouverte,1
intelligence,1
créativité,1
engagée,1
poids,1
développement,1
ligne,1
destruction,1
nature,1
offrant,1
enfants,1
sociales,1
meilleures,1
prospérité,1
appuie,1
rassemble,1
compter,1
face,1
ensembles,1
monde,1
décidé,1
soumise,1
peuple,1
souverain,1
appelé,1
approuvant,1
démocratique,1
puissante,1
progrès,1
économiques,1
rapides,1
permettrez,1
peser,1
davantage,1
union,1
repli,1
ouverture,1
ferons,1
décisif,1
altéré,1
détourné,1
considération,1
grande,1
responsabilité,1
donne,1
tournée,1
jean,1
pierre,1
raffarin,1
mesures,1
nécessaires,1
repartir,1
économie,1
privilégiant,1
entreprises,1
aura,1
dernières,1
chômage,1
suffisant,1
parcours,1
bonne,1
demande,1
amplifier,1
efforts,1
poursuivre,1
hausse,1
smic,1
soutenir,1
pouvoir,1
achat,1
impôt,1
revenu,1
charges,1
maîtriser,1
encourager,1
investissement,1
mettant,1
oeuvre,1
veulent,1
gagner,1
travailler,1
droits,1
consommateurs,1
développer,1
concurrence,1
exportation,1
présence,1
grands,1
marchés,1
émergents,1
profite,1
publics,1
cohésion,1
vient,1
maintenant,1
nouveaux,1
jeunes,1
ramener,1
allocataires,1
minima,1
discriminations,1
embauche,1
moderniser,1
aller,1
conquête,1
pourvus,1
particulier,1
artisanat,1
services,1
personnes,1
besoins,1
immenses,1
rendez,1
technologies,1
créent,1
préparent,1
programmes,1
nucléaire,1
airbus,1
ariane,1
font,1
demandé,1
lancer,1
partenaires,1
européens,1
projets,1
tireront,1
permettront,1
accroître,1
technologique,1
irons,1
résolument,1
source,1
richesse,1
compétition,1
pointe,1
joue,1
également,1
vienne,1
école,1
adapter,1
exigences,1
défis,1
appliquer,1
rentrée,1
septembre,1
capitale,1
recherche,1
mobiliser,1
ambition,1
scientifique,1
mettons,1
enseignement,1
supérieur,1
capacité,1
domaines,1
universités,1
performantes,1
heureuse,1
abordent,1
solitude,1
détresse,1
exprimer,1
chaleureuses,1
soldats,1
engagés,1
continents,1
accomplissent,1
mission,1
exemplaires,1
solidaire,1
ambitieuse,1
repose,1
confiance,1
exprimant,1
voeux,1
chaleureux,1
