mots,occurrences
faire,11
urgence,10
franc,10
france,9
vouloir,7
mettre,7
mond,7
année,6
monde,6
fond,6
venir,5
français,4
pays,4
devoir,4
pouvoir,4
prendre,4
bien,4
travail,4
agir,4
politique,4
confiance,3
soir,3
nouveau,3
ami,3
travailler,3
tenir,3
avenir,3
davantage,3
mois,3
changement,3
profond,3
vieux,3
trouver,3
rôle,3
coeur,3
civilisation,3
cher,3
compatriote,2
conscient,2
famill,2
quotidien,2
soirée,2
éprouver,2
écart,2
fête,2
message,2
doute,2
effort,2
société,2
tâche,2
république,2
grand,2
sentiment,2
vain,2
enfant,2
angoisse,2
perdre,2
permettre,2
résoudre,2
jour,2
croire,2
intérêt,2
présider,2
oeuvre,2
donner,2
gouvernement,2
social,2
respect,2
penser,2
temps,2
responsabilité,2
passer,2
engagement,2
ouverture,2
femme,2
financier,2
résultat,2
sentir,2
retrouver,2
étape,2
environnement,2
europe,2
service,2
mal,2
besoin,2
union,2
renaissance,2
décembre,1
terme,1
plein,1
reconnaissance,1
témoigner,1
imposer,1
adresse,1
pensée,1
préparer,1
fêter,1
oublier,1
obliger,1
nuit,1
soldat,1
opération,1
loin,1
foyer,1
défendre,1
douleur,1
espérance,1
fatalité,1
malheur,1
joie,1
peine,1
existence,1
réserve,1
bâtir,1
facile,1
confier,1
élire,1
président,1
dernier,1
immense,1
retard,1
marche,1
sacrifice,1
consentir,1
crainte,1
étreindre,1
peur,1
emploi,1
augmentation,1
coût,1
vivre,1
décemment,1
famille,1
exaspération,1
empêcher,1
détermination,1
faill,1
obstacle,1
difficulté,1
simplement,1
choisir,1
promesse,1
fierté,1
devenir,1
françois,1
fillon,1
engager,1
aller,1
vite,1
compte,1
exigence,1
dialogue,1
brutalité,1
méthode,1
convaincre,1
rassembler,1
heurter,1
diviser,1
efforcer,1
rapide,1
press,1
rester,1
maître,1
face,1
erreur,1
souci,1
tromper,1
trahir,1
vérité,1
hypocrisie,1
énergie,1
partager,1
demander,1
renier,1
proposer,1
servir,1
accepter,1
esprit,1
volonté,1
aborder,1
freiner,1
crise,1
premier,1
mesure,1
traduire,1
amélioration,1
répondre,1
attente,1
rang,1
achever,1
dépasser,1
clivage,1
partisan,1
fiscal,1
rétablir,1
soutenir,1
activité,1
économie,1
mieux,1
résister,1
ralentissement,1
conjoncture,1
achat,1
autonomie,1
université,1
régime,1
spécial,1
libérer,1
réhabiliter,1
minimum,1
modernisation,1
etat,1
commencer,1
réforme,1
attendre,1
exemplaire,1
matière,1
qualité,1
durable,1
traiter,1
simplifier,1
débloquer,1
jamais,1
cesser,1
indispensable,1
remettre,1
jouer,1
paix,1
équilibr,1
souffrir,1
martyriser,1
persécuter,1
prison,1
ouvrir,1
toucher,1
essentiel,1
culture,1
identité,1
rapport,1
réduire,1
cause,1
réel,1
conviction,1
époque,1
appeler,1
école,1
ville,1
xxi,1
siècle,1
intégration,1
diversité,1
justic,1
droit,1
homme,1
goût,1
aventure,1
risque,1
solidarité,1
entreprendre,1
moraliser,1
capitalisme,1
discours,1
obtenir,1
montre,1
peuple,1
partir,1
européen,1
rêve,1
redonner,1
espoir,1
surmonter,1
voeu,1
souhaiter,1
réussite,1
républiqueviv,1
