"","1974.pdf","1975.pdf","1976.pdf","1977.pdf","1978.pdf","1979.pdf","1980.pdf","1981.pdf","1982.pdf","1983.pdf","1984.pdf","1985.pdf","1986.pdf","1987.pdf","1988.pdf","1989.pdf","1990.pdf","1991.pdf","1992.pdf","1993.pdf","1994.pdf","1995.pdf","1996.pdf","1997.pdf","1998.pdf","1999.pdf","2000.pdf","2001.pdf","2002.pdf","2003.pdf","2004.pdf","2005.pdf","2006.pdf","2007.pdf","2008.pdf","2009.pdf","2010.pdf","2011.pdf","2012.pdf","2013.pdf","2014.pdf","2015.pdf","2016.pdf","2017.pdf","2018.pdf","2019.pdf","2020.pdf","2021.pdf","2022.pdf"
"abord",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,3,2,0,0,2,1,1,2,1,2,0,1,1,1,1,0,0,0,1,0,1,1,1,2,0,2,1,0,2
"achat",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0
"achève",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2,1,0,1,0,1
"action",1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,8,3,3,3,1,1,2,0,0,0,0,0,1,0,0,0,2,1,0,1,2
"activité",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0,3,3,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,1,1
"adresse",0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0
"agir",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,1,0,1,1,1,3,1,0,2,0,0,0,2,1,1,0,1,1,1,1
"aider",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"allocution",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"allons",1,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1
"ambition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,4,0,1,2,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,3
