mots,occurrences
annee,22
francai,19
vouloir,9
france,9
souhait,7
ami,6
souhaiter,6
francais,6
libert,6
mond,6
voeux,5
travail,5
liberte,5
fraternite,5
soir,5
sentir,4
probleme,4
pays,4
bon,3
action,3
francaise,3
societe,3
bien,3
place,3
monde,3
adresser,3
voir,3
famill,3
attent,3
heure,2
famille,2
ennuyer,2
conduire,2
mois,2
vivon,2
vivre,2
ensembl,2
commun,2
pourtant,2
appartenir,2
ailleurs,2
traite,2
ressource,2
emploi,2
moment,2
election,2
presidentiell,2
grand,2
condition,2
categorie,2
travailleur,2
jeune,2
prendre,2
caus,2
nation,2
conciliation,2
antille,2
recu,2
main,2
serrer,2
partie,2
accident,2
salut,2
accueill,2
misere,2
preparer,1
doute,1
solitud,1
minute,1
attrister,1
presentant,1
decrite,1
occasion,1
prochain,1
rappelant,1
difficulte,1
risque,1
reel,1
vraiment,1
appartenez,1
region,1
profession,1
religion,1
generation,1
politique,1
syndicat,1
communaut,1
decrire,1
deplacez,1
exterieur,1
affect,1
sort,1
dignite,1
justice,1
permette,1
repondre,1
aspiration,1
ambition,1
assurer,1
epanouissement,1
garantisse,1
date,1
effort,1
proteger,1
privee,1
ecoute,1
telephonique,1
censure,1
choix,1
individuel,1
familial,1
femme,1
traval,1
parlement,1
decider,1
trancher,1
librement,1
sujet,1
social,1
autour,1
resserrer,1
traiter,1
nombre,1
exemple,1
apercevon,1
personnel,1
hospitalier,1
sante,1
public,1
particulier,1
accomplir,1
direction,1
recherche,1
dernier,1
conseil,1
ministre,1
noel,1
disposition,1
concerner,1
texte,1
vote,1
esprit,1
atteindre,1
inflation,1
agriculteur,1
artisan,1
difficile,1
economie,1
moderne,1
petit,1
entreprise,1
examine,1
soin,1
attention,1
apporter,1
sentimer,1
vivant,1
chaleureux,1
interrog,1
declaration,1
interview,1
demand,1
paysager,1
cause,1
choisir,1
dirigeant,1
responsable,1
continu,1
role,1
exprimer,1
mesure,1
apparaitre,1
capable,1
temp,1
realisme,1
solution,1
poser,1
echelle,1
mondiau,1
compatriote,1
rentre,1
couvert,1
ecorchure,1
ongle,1
departement,1
territoire,1
aller,1
visite,1
installe,1
etranger,1
national,1
malheureux,1
fet,1
cruel,1
frappe,1
minier,1
nord,1
lievin,1
hopitau,1
hospice,1
prison,1
portugais,1
espagnol,1
algerien,1
marocain,1
etat,1
francophone,1
afrique,1
apportent,1
activite,1
penser,1
chretienne,1
revolutionnaire,1
celebrer,1
apercevoir,1
debut,1
nouveau,1
ressentir,1
entour,1
oublieron,1
veuf,1
veiller,1
nuit,1
dormir,1
achev,1
traire,1
caracter,1
connaître,1
arbre,1
fleur,1
rencontre,1
commencer,1
apprendre,1
produire,1
imaginer,1
revoir,1
adieu,1
soie,1
accueiller,1
reponde,1
desirs,1
coeur,1
