mots,occurrences
france,13
jeune,8
jeunes,7
nation,7
etat,6
faisons,5
faire,5
part,5
année,4
français,4
forme,4
pays,4
rendre,4
social,4
compatriotes,3
autrement,3
vrai,3
école,3
ensemble,3
respect,3
république,3
ambition,3
forte,3
capable,3
reculer,3
bien,3
construire,3
accueillante,3
pense,3
prendre,3
national,3
apaisée,3
porte,3
difficile,2
reste,2
exclus,2
créer,2
activité,2
entreprise,2
voudrais,2
interrogations,2
débats,2
confiance,2
longue,2
période,2
temps,2
agir,2
garant,2
objectif,2
juste,2
cohésion,2
réforme,2
donner,2
penser,2
liberté,2
valeurs,2
initiatives,2
vivante,2
gouvernement,2
davantage,2
vite,2
loin,2
travail,2
effort,2
europe,2
chance,2
doivent,2
partenaires,2
sociaux,2
ouvrir,2
nécessaire,2
professionnel,2
évolution,2
emploi,2
engage,2
association,2
grand,2
demande,2
violence,2
atteinte,2
devons,2
société,2
dialogue,2
intérêt,2
nationale,2
choix,2
pourtant,1
confiant,1
change,1
modernise,1
mobilisent,1
impressionné,1
déplacements,1
rencontre,1
engagent,1
préserver,1
patrimoine,1
culturel,1
gérer,1
former,1
lutter,1
illettrisme,1
esprit,1
soir,1
voeux,1
chemin,1
ambitions,1
communes,1
traverse,1
passionnés,1
surprendre,1
dirai,1
diversité,1
fondent,1
train,1
bouger,1
remettre,1
question,1
blocages,1
existent,1
vois,1
preuve,1
dynamisme,1
vitalité,1
sortie,1
immobilisme,1
vivions,1
crédit,1
dettes,1
déficits,1
refusions,1
voir,1
monde,1
perdait,1
chances,1
voix,1
finalement,1
facile,1
évidemment,1
adapter,1
exige,1
défense,1
armée,1
professionnelle,1
nouveau,1
rapport,1
protection,1
sociale,1
efficace,1
pacte,1
ville,1
logement,1
projet,1
exclusion,1
prises,1
faveur,1
chômeurs,1
durée,1
université,1
lancée,1
réussite,1
conception,1
moderne,1
dépenser,1
limite,1
argent,1
contribuables,1
défendre,1
droit,1
ordre,1
sécurité,1
territoire,1
garantir,1
libertés,1
indépendance,1
justice,1
solidarité,1
favoriser,1
étouffer,1
petites,1
grandes,1
créent,1
investissent,1
recrutent,1
exportent,1
sorte,1
tire,1
profit,1
réussisse,1
entrée,1
avenir,1
restant,1
fidèle,1
construisons,1
emplois,1
compétition,1
internationale,1
marquons,1
points,1
savent,1
économie,1
performante,1
exportons,1
jamais,1
exporté,1
croissance,1
faible,1
chômage,1
essentiel,1
repart,1
libérer,1
demandent,1
simplifiant,1
réglementations,1
formalités,1
paperasserie,1
allant,1
impôts,1
amorcée,1
allez,1
constater,1
mois,1
rendant,1
dignité,1
récompensant,1
voulons,1
prêts,1
entrepreneurs,1
maires,1
associations,1
prennent,1
multiplier,1
alternance,1
qualifiés,1
expériences,1
étudiants,1
contrats,1
insertion,1
favorisés,1
ouvert,1
aller,1
chantiers,1
exemple,1
enseignement,1
métiers,1
technologies,1
vraiment,1
volonté,1
imagination,1
invite,1
forces,1
collectivité,1
locale,1
violences,1
voudrait,1
intimider,1
suscite,1
courage,1
rester,1
vigilants,1
délinquance,1
certains,1
quartiers,1
difficiles,1
tolérées,1
soient,1
causes,1
quotidienne,1
pire,1
vocation,1
instruire,1
intégrer,1
parents,1
enseignants,1
élèves,1
publics,1
commencé,1
travailler,1
poursuivre,1
parle,1
sncf,1
dernier,1
conflit,1
routiers,1
montré,1
combien,1
comprendre,1
devenir,1
anticiper,1
conduire,1
sérénité,1
nécessaires,1
évolutions,1
responsabilité,1
porter,1
général,1
intérêts,1
particuliers,1
attendre,1
accepter,1
principe,1
condition,1
concertée,1
jour,1
conclus,1
font,1
avancer,1
choses,1
attentif,1
progrès,1
dépendent,1
faits,1
modernité,1
identité,1
française,1
jouons,1
rôle,1
construction,1
européenne,1
adaptons,1
appuyons,1
peuple,1
inventif,1
entreprenant,1
généreux,1
réussirons,1
métropole,1
étranger,1
décembre,1
souhaite,1
coeur,1
bonne,1
heureuse,1
