mots,occurrences
france,34
emploi,29
europe,26
année,23
part,18
faire,17
action,17
nation,17
venir,17
compatriotes,15
français,15
monde,15
avenir,14
république,13
pris,13
gouvernement,12
réforme,12
service,11
respect,11
prise,11
social,11
paix,10
travail,10
fond,10
main,10
société,10
croissance,9
pays,9
projet,9
parti,9
reprise,9
solidarité,8
rang,8
chance,8
droit,8
entreprise,8
donne,8
nouveau,8
nouvel,7
amis,7
aujourd,7
grand,7
école,7
place,7
force,7
métropole,7
étranger,7
activité,7
donner,7
prises,7
industrie,7
sociale,7
atout,7
européen,7
mettre,7
justice,6
besoin,6
dynamisme,6
entreprises,6
font,6
victimes,6
réformes,6
exigence,6
enjeu,6
nouveaux,6
sociaux,6
public,6
nouvelle,6
aide,6
temps,6
rassemble,6
engage,6
mobilise,6
avance,6
fier,6
allons,6
sécurité,5
économie,5
esprit,5
progrès,5
premier,5
violence,5
difficultés,5
effort,5
engagé,5
valeurs,5
sens,5
responsabilité,5
bonne,5
système,5
emplois,5
mois,5
nations,5
soir,5
jamais,5
partenaires,5
économique,5
mobiliser,5
pleine,5
point,5
pouvoir,5
baisse,5
enfant,5
pense,5
change,5
lutte,5
famille,4
rassemblement,4
nationale,4
première,4
pierre,4
porter,4
forte,4
intérêt,4
réussir,4
agir,4
possible,4
retraite,4
environnement,4
preuve,4
française,4
garant,4
recherche,4
enfants,4
mieux,4
unie,4
heureuse,4
retrouver,4
pensées,4
ambition,4
charges,4
priorité,4
atouts,4
moyens,4
politique,4
véritable,4
aider,4
devons,4
chances,4
permettre,4
innovation,4
nature,4
chômage,4
continuer,4
source,4
plan,4
mondialisation,4
énergie,4
long,4
construction,4
jeune,4
gagne,4
occasion,3
salue,3
détresse,3
peine,3
exprimer,3
également,3
changement,3
jean,3
raffarin,3
volonté,3
autorité,3
pouvons,3
maintenant,3
bien,3
confiance,3
guerre,3
collectif,3
différence,3
mobilisation,3
indispensables,3
européens,3
longtemps,3
autour,3
retraites,3
engagée,3
nécessaire,3
modernisation,3
publics,3
pleinement,3
ensemble,3
juste,3
résolue,3
cours,3
coeur,3
souhaite,3
orient,3
défi,3
efforts,3
meilleur,3
objectif,3
françaises,3
jeunes,3
bord,3
route,3
ouvrir,3
mesure,3
formation,3
priorités,3
appel,3
maladie,3
aura,3
tendre,3
laïcité,3
profonde,3
soutien,3
destin,3
renforcer,3
humanitaire,3
lutter,3
rapide,3
venu,3
développement,3
constitution,3
européenne,3
démocratique,3
choix,3
achat,3
gagner,3
aller,3
lancer,3
projets,3
prépare,3
soldats,3
voeux,3
marqué,3
vivre,3
lieu,3
honneur,3
industrielle,3
essentielle,3
affirme,3
logement,3
continent,3
prochain,3
heureux,2
guère,2
certains,2
défense,2
étape,2
mission,2
choses,2
etat,2
vivons,2
risques,2
scientifique,2
communautarisme,2
recule,2
situation,2
capacité,2
créativité,2
personnelle,2
solidarités,2
routière,2
remettre,2
savons,2
faites,2
nombre,2
concerne,2
seule,2
péril,2
santé,2
état,2
protection,2
soient,2
ministre,2
dialogue,2
impossible,2
impératif,2
liberté,2
ambitieuse,2
réserver,2
citoyen,2
attentes,2
attend,2
élargie,2
davantage,2
équilibre,2
unies,2
principes,2
engagement,2
équitable,2
frontières,2
particulier,2
tensions,2
terrorisme,2
responsabilités,2
continuera,2
entend,2
naturellement,2
épreuve,2
mobilisés,2
prévention,2
alerte,2
engager,2
importante,2
routes,2
retour,2
tirer,2
présent,2
moderne,2
demandé,2
oublions,2
nouvelles,2
relancer,2
durable,2
poursuivre,2
salariés,2
droits,2
répondre,2
entrée,2
accompagnement,2
loin,2
cohésion,2
personnes,2
ouverte,2
égalité,2
passe,2
moment,2
fiers,2
puissante,2
solidaire,2
familles,2
entière,2
populations,2
tragédie,2
humanité,2
mettent,2
évidemment,2
dépend,2
efficaces,2
parler,2
années,2
demi,2
restaurer,2
face,2
décidé,2
peuple,2
souverain,2
volontaire,2
décisif,2
grande,2
meilleure,2
demande,2
impôt,2
investissement,2
travailler,2
concurrence,2
voulu,2
discriminations,2
embauche,2
demain,2
industriels,2
airbus,2
ariane,2
irons,2
pointe,2
défis,2
septembre,2
universités,2
solitude,2
continents,2
courage,2
adresse,2
fête,2
crise,2
arrière,2
rester,2
iter,2
mondiale,2
chômeurs,2
profondeur,2
bataille,2
accélérer,2
inventer,2
règles,2
intensifier,2
immigration,2
talent,2
origine,2
progresser,2
racisme,2
antisémitisme,2
partie,2
licencie,2
démocratiques,2
veille,2
mettra,2
danger,2
riche,2
pauvre,2
tentation,2
aime,2
bats,2
avancent,2
garantie,2
comportements,2
unité,2
sait,2
connais,2
avancer,2
affirmer,2
prendra,2
écologique,2
immédiat,2
marche,2
compte,2
réjouis,1
accueillir,1
amicalement,1
apprécient,1
fêtes,1
soucis,1
sensibles,1
isolement,1
épreuves,1
sympathie,1
insatisfaction,1
restera,1
sursaut,1
républicain,1
franchie,1
bouger,1
préalable,1
étapes,1
suivantes,1
lucidité,1
incertain,1
dangereux,1
menaces,1
ajoutent,1
terroristes,1
dévoyée,1
atteinte,1
dignité,1
humaine,1
défendre,1
éthique,1
tentations,1
réelles,1
disparu,1
équilibres,1
écologiques,1
menacés,1
malmenée,1
fortifiée,1
matérielles,1
exclusion,1
restent,1
libérer,1
énergies,1
poursuivi,1
ténacité,1
vitalité,1
démographique,1
savoir,1
présentes,1
entier,1
train,1
renouer,1
essentielles,1
civisme,1
vulnérables,1
contraire,1
mépris,1
indifférence,1
inconscience,1
exemple,1
préparer,1
changer,1
retardées,1
changé,1
naguère,1
composée,1
blocs,1
antogonistes,1
inconciliables,1
prêts,1
déchirer,1
sujet,1
grandes,1
clivages,1
dépassés,1
devenu,1
conduire,1
permettra,1
garantir,1
renouveau,1
dépériraient,1
attractivité,1
excès,1
réglementations,1
impôts,1
perdre,1
investissements,1
veillerai,1
menées,1
transparence,1
fonction,1
clairement,1
informé,1
pourra,1
assumer,1
avancera,1
avançons,1
équitablement,1
partagé,1
équité,1
réussirons,1
pacte,1
permanente,1
dynamique,1
écoutée,1
parlera,1
derniers,1
entendre,1
message,1
poursuivra,1
prévaloir,1
fondent,1
aborder,1
unis,1
déterminés,1
réveillon,1
partagent,1
joie,1
seuls,1
malades,1
fraternelles,1
espérance,1
touchés,1
incendies,1
inondations,1
drames,1
terre,1
iran,1
équipes,1
médicales,1
secours,1
pied,1
marquée,1
instabilité,1
irak,1
attentats,1
violences,1
troubles,1
côte,1
ivoire,1
assumé,1
fortement,1
émaillé,1
arrêtée,1
citoyens,1
relever,1
précédent,1
doter,1
allemagne,1
postes,1
terme,1
oublie,1
douloureuse,1
canicule,1
systèmes,1
conduit,1
achève,1
insécurité,1
progressait,1
menacées,1
sauvegardées,1
élevés,1
commencé,1
dépenses,1
galopaient,1
stabilisées,1
assouplies,1
permettent,1
voies,1
puissance,1
condition,1
peuvent,1
doivent,1
conciliés,1
passer,1
début,1
voter,1
parlement,1
alléger,1
procédures,1
inutiles,1
excessives,1
suscitent,1
sorte,1
embaucher,1
équipement,1
infrastructure,1
ouvrons,1
seconde,1
sortis,1
prématurément,1
renforçons,1
licenciements,1
plans,1
reclassement,1
petites,1
modernisons,1
active,1
laissé,1
solution,1
bousculer,1
conservatismes,1
parvenir,1
femmes,1
hommes,1
hélas,1
guider,1
faisant,1
assurance,1
consolidée,1
poursuivrons,1
hôpitaux,1
édifice,1
créant,1
caisse,1
autonomie,1
devoir,1
âgées,1
dépendantes,1
briser,1
ghettos,1
sentent,1
écart,1
raison,1
redonner,1
généreuse,1
harmonie,1
réaffirmer,1
éducation,1
lancé,1
souhaitez,1
orientation,1
rassembler,1
horizon,1
éclaircit,1
désormais,1
chemin,1
rendre,1
bouleversés,1
terrible,1
catastrophe,1
semé,1
mort,1
horreur,1
océan,1
indien,1
proches,1
brisée,1
blessés,1
aimée,1
immédiatement,1
apporter,1
assistance,1
magnifique,1
élan,1
engagent,1
répondent,1
masse,1
associations,1
humanitaires,1
ressent,1
distances,1
formons,1
distingue,1
planète,1
urgence,1
épidémies,1
exceptionnels,1
dette,1
reconstruction,1
régions,1
dévastées,1
perdu,1
séismes,1
prévenir,1
conséquences,1
impliquera,1
dispositifs,1
organisent,1
réaction,1
casques,1
bleus,1
préserver,1
soutenue,1
déployer,1
intelligence,1
poids,1
ligne,1
destruction,1
offrant,1
sociales,1
meilleures,1
prospérité,1
appuie,1
compter,1
ensembles,1
soumise,1
appelé,1
approuvant,1
économiques,1
rapides,1
permettrez,1
peser,1
union,1
repli,1
ouverture,1
ferons,1
altéré,1
détourné,1
considération,1
tournée,1
mesures,1
nécessaires,1
repartir,1
privilégiant,1
dernières,1
suffisant,1
parcours,1
amplifier,1
hausse,1
smic,1
soutenir,1
revenu,1
maîtriser,1
encourager,1
mettant,1
oeuvre,1
veulent,1
consommateurs,1
développer,1
exportation,1
présence,1
grands,1
marchés,1
émergents,1
profite,1
vient,1
ramener,1
allocataires,1
minima,1
moderniser,1
conquête,1
pourvus,1
artisanat,1
services,1
besoins,1
immenses,1
rendez,1
technologies,1
créent,1
préparent,1
programmes,1
nucléaire,1
tireront,1
permettront,1
accroître,1
technologique,1
résolument,1
richesse,1
compétition,1
joue,1
vienne,1
adapter,1
exigences,1
appliquer,1
rentrée,1
capitale,1
mettons,1
enseignement,1
supérieur,1
domaines,1
performantes,1
abordent,1
chaleureuses,1
engagés,1
accomplissent,1
exemplaires,1
repose,1
exprimant,1
chaleureux,1
seuil,1
instants,1
connaissent,1
planche,1
pouvoirs,1
libération,1
interrogations,1
référendum,1
banlieues,1
portent,1
question,1
manière,1
accélérée,1
succès,1
navigation,1
satellite,1
galileo,1
futur,1
porté,1
repartie,1
points,1
fléau,1
malheurs,1
blocages,1
engagées,1
commencent,1
fruits,1
croire,1
profondément,1
patriotisme,1
aimer,1
actes,1
fondement,1
délinquance,1
vigoureusement,1
clandestine,1
réformer,1
outreau,1
puisse,1
reproduire,1
entravé,1
barrière,1
castes,1
privilèges,1
établissements,1
réussite,1
largement,1
portes,1
écoles,1
milieux,1
modestes,1
habitants,1
quartiers,1
intransigeants,1
idéaux,1
refus,1
libérés,1
abaisse,1
salit,1
discorde,1
diversité,1
histoire,1
voulons,1
haut,1
niveau,1
chantier,1
financement,1
paye,1
favorise,1
emploient,1
instaurer,1
sécurisation,1
fondée,1
gagnerons,1
allant,1
confrontés,1
simultanément,1
industrielles,1
majeures,1
pétrole,1
siècle,1
numérique,1
pionnière,1
agira,1
entraîner,1
accord,1
budget,1
stables,1
attendre,1
prendrai,1
rapidement,1
initiatives,1
auxquels,1
confrontée,1
réponse,1
fraternité,1
particulièrement,1
saluer,1
défendent,1
servir,1
changements,1
considérables,1
expansion,1
ouvre,1
opportunités,1
révolution,1
internet,1
transforme,1
communiquer,1
ressources,1
naturelles,1
dérègle,1
climat,1
absurde,1
irresponsable,1
choc,1
cultures,1
passionnément,1
prenne,1
restant,1
fidèle,1
origines,1
vite,1
solide,1
réforment,1
logements,1
doublé,1
évoluent,1
heureusement,1
cancer,1
vies,1
sauvées,1
élections,1
double,1
moments,1
débats,1
ouverts,1
responsables,1
engagerai,1
voudrais,1
yeux,1
majeurs,1
humanisme,1
différences,1
combat,1
écoutez,1
apprentis,1
sorciers,1
extrémisme,1
belle,1
respecter,1
deuxième,1
souffrances,1
auxquelles,1
salaires,1
récompense,1
gardez,1
idéologies,1
illusions,1
recettes,1
marchent,1
donnant,1
participation,1
opposable,1
réalité,1
prochaines,1
semaines,1
mesurer,1
particulières,1
voix,1
faisons,1
pauvres,1
morale,1
afflux,1
quittent,1
espoir,1
quatrième,1
anniversaire,1
rome,1
mars,1
offre,1
protège,1
charte,1
février,1
conférence,1
internationale,1
nécessité,1
respectueuse,1
champion,1
poursuivons,1
cherchons,1
imiter,1
décisifs,1
convictions,1
