mots,occurrences
france,35
voir,34
année,30
faire,30
cris,24
venir,24
mond,23
crise,22
sen,21
euro,19
travail,18
pay,18
français,17
pouvoir,16
europ,16
devoir,15
part,15
compatriote,14
prendre,14
mettre,14
monde,14
pays,13
bien,13
fond,13
avenir,12
forme,12
emploi,11
agir,11
cher,11
confiance,10
nouveau,10
grand,10
face,10
financier,10
urgence,10
fort,10
réform,10
poser,10
ider,10
justic,10
penser,9
davantage,9
permett,9
donner,9
économie,9
réforme,9
porte,9
tenir,9
difficulté,8
permettre,8
europe,8
justice,8
protéger,8
preuve,8
ami,7
effort,7
républiqu,7
vouloir,7
social,7
croi,7
respect,7
mieux,7
homm,7
sort,7
épreuv,7
continuer,7
défi,7
force,7
soir,6
famill,6
travailler,6
réserve,6
intérêt,6
passer,6
esprit,6
mesure,6
besoin,6
voeu,6
fil,6
mondial,6
épreuve,6
devon,6
temp,6
porter,6
finance,6
impose,5
défendre,5
éprouver,5
peine,5
profond,5
jour,5
gouvernement,5
responsabilité,5
paix,5
politique,5
risque,5
solidarité,5
décider,5
préserver,5
prise,5
courage,5
présent,5
nier,5
adress,4
soldat,4
doute,4
pouvon,4
mois,4
changement,4
enfant,4
perdre,4
vivre,4
famille,4
compte,4
temps,4
engagement,4
coeur,4
achat,4
jamais,4
service,4
conviction,4
droit,4
difficile,4
souffrance,4
commun,4
plan,4
doter,4
garder,4
moyen,4
créer,4
naître,4
question,4
recherche,4
liberté,4
imposer,4
partenaire,4
croissance,4
construir,4
tax,4
reprise,4
protection,4
lourd,4
systèm,4
nation,4
écouter,4
unir,4
sujet,4
conscient,3
préparer,3
obliger,3
espérance,3
dernier,3
sentiment,3
promesse,3
vieux,3
françois,3
fillon,3
trouver,3
vite,3
rôle,3
énergie,3
résultat,3
sentir,3
oeuvr,3
achever,3
fiscal,3
activité,3
etat,3
commence,3
attendre,3
environnement,3
équilibre,3
souffrir,3
ouvrir,3
essentiel,3
identité,3
civilisation,3
réduire,3
appeler,3
peuple,3
union,3
européen,3
redonner,3
perdu,3
affronter,3
moment,3
risquer,3
économique,3
assumer,3
connaître,3
changer,3
sauver,3
investissement,3
considérable,3
industrie,3
souverain,3
sang,3
froid,3
condition,3
pire,3
sortir,3
formation,3
professionnel,3
organisation,3
compétitivité,3
injustic,3
chance,3
important,3
système,3
chemin,3
relever,3
intelligence,3
voeux,3
république,3
particulier,3
bord,3
revenir,3
hommage,3
entreprise,3
laisse,3
égalité,3
janvier,3
accompli,3
provoquer,3
immobilism,3
adresse,3
bonheur,3
modèle,3
capital,3
brutal,3
priorité,3
grave,3
problèm,3
débat,3
public,3
forcer,3
terme,2
quotidien,2
loin,2
soirée,2
écart,2
fête,2
message,2
bâtir,2
société,2
tâche,2
confier,2
président,2
marche,2
vain,2
angoisse,2
exaspération,2
résoudre,2
croire,2
détermination,2
faill,2
ferai,2
choisir,2
présider,2
oeuvre,2
devenir,2
engager,2
aller,2
exigence,2
dialogue,2
rassembler,2
rester,2
souci,2
vérité,2
ouverture,2
femme,2
demander,2
proposer,2
retrouver,2
étape,2
rétablir,2
soutenir,2
université,2
spécial,2
minimum,2
simplifier,2
indispensable,2
jouer,2
culture,2
cause,2
réel,2
mal,2
époque,2
école,2
responsabiliter,2
capitalisme,2
obtenir,2
feron,2
voulon,2
renaissance,2
souhaiter,2
rude,2
durement,2
injustice,2
sécurité,2
vériter,2
initiative,2
présidenc,2
action,2
fatal,2
inacceptable,2
place,2
prochain,2
sommet,2
climat,2
contribuer,2
arrêter,2
contreparti,2
fonds,2
débattre,2
appliquer,2
reprendre,2
territorial,2
lycer,2
échec,2
supérieur,2
ensembl,2
compétitif,2
mérite,2
vocation,2
profondément,2
ayon,2
achèv,2
continent,2
sorte,2
commencer,2
traver,2
problème,2
lutte,2
assurer,2
institution,2
fiscalité,2
autonome,2
fonctionne,2
jeune,2
réussir,2
protégé,2
comportement,2
renonce,2
difficulter,2
exonérer,2
produire,2
chômage,2
exclusion,2
dépense,2
retraite,2
dépendance,2
décennie,2
douloureux,2
fruit,2
entraîner,2
ordre,2
dignité,2
isolement,2
républicain,2
salarier,2
responsable,2
capacité,2
annonc,2
plein,2
inéluctable,2
violence,2
rendez,2
apporter,2
électoral,2
payer,2
circonstance,2
général,2
multi,2
ministre,2
décision,2
intangible,2
conduire,2
double,2
développement,2
anner,2
gravité,2
conséquence,2
sanctionn,2
commerc,2
italie,2
mise,2
résisté,2
viser,2
épargne,2
possibilité,2
choix,2
tard,2
destin,2
écouterai,2
proposition,2
marché,2
laisser,2
regard,2
absolu,2
former,2
œuvre,2
lourde,2
cesse,2
décembre,1
pleine,1
reconnaissance,1
témoigner,1
fêter,1
oublier,1
nuit,1
opération,1
foyer,1
douleur,1
tiennent,1
fatalité,1
malheur,1
joie,1
existence,1
facile,1
élire,1
immense,1
retard,1
sacrifice,1
consentir,1
craindre,1
étreindre,1
peur,1
augmentation,1
coût,1
décemment,1
empêcher,1
obstacle,1
simplement,1
fierté,1
brutalité,1
méthode,1
convaincr,1
heurter,1
diviser,1
efforcer,1
pensent,1
rapide,1
presse,1
maître,1
erreur,1
tromperai,1
trahir,1
doi,1
dirai,1
hypocrisie,1
partager,1
renier,1
servir,1
accepter,1
volonté,1
aborder,1
freiner,1
premier,1
traduisent,1
amélioration,1
répondre,1
attente,1
rang,1
dépasser,1
clivage,1
partisan,1
résister,1
ralentissement,1
conjoncture,1
autonomie,1
régime,1
libérer,1
réhabiliter,1
modernisation,1
exemplaire,1
matière,1
qualité,1
durable,1
traiter,1
débloquer,1
cesser,1
remettre,1
martyriser,1
persécuter,1
prison,1
touch,1
rapport,1
profonde,1
résoudron,1
ville,1
xxi,1
siècle,1
metton,1
intégration,1
diversiter,1
retrouvon,1
goût,1
aventure,1
entreprendre,1
moraliser,1
discour,1
montr,1
partir,1
rêve,1
espoir,1
surmontant,1
vient,1
réussite,1
républiqueviv,1
raison,1
absence,1
