mots,occurrences
franc,61
france,40
voir,36
année,27
loi,24
euro,23
faire,23
venir,23
pay,21
pays,19
nation,19
devoir,17
social,17
grand,17
rendre,17
emploi,16
mettre,16
prendre,15
uni,15
compatriote,14
fier,14
europe,13
travail,13
face,13
fort,12
jeune,12
cher,12
lutt,12
prise,12
confianc,12
forme,12
confiance,11
entreprise,11
donne,11
nier,11
lutte,10
droit,10
national,10
force,10
dernier,10
pouvoir,10
soir,9
public,9
français,9
donner,9
monde,9
vie,9
avenir,8
mois,8
etat,8
justice,8
réussir,8
vivre,8
plan,8
nouveau,8
caus,8
compte,7
réforme,7
sens,7
priorité,7
lier,7
demain,7
gouvernement,7
solidarité,7
demande,7
famill,7
cause,7
jour,7
républiqu,7
unir,7
présent,6
chômage,6
sembler,6
marc,6
décision,6
service,6
prochain,6
revenir,6
responsabilité,6
tenir,6
essentiel,6
société,6
saluer,6
famille,6
bien,6
porte,6
engagement,6
long,6
état,6
choix,6
sécurité,6
engager,6
acte,6
liberté,6
jamais,6
histoire,6
trouver,6
fond,6
croissance,5
porter,5
avance,5
retrouver,5
accompagner,5
investissement,5
génération,5
mieux,5
tendre,5
formation,5
embauche,5
santé,5
condition,5
soldat,5
syrie,5
menace,5
république,5
commun,5
lutter,5
rang,5
agir,5
arme,5
enfant,5
planèt,5
protéger,5
sortir,5
battre,5
économique,5
capable,5
patrie,5
climat,5
attentat,5
mode,5
crise,4
résultat,4
effort,4
demander,4
compétitivité,4
préserver,4
niveau,4
vite,4
davantage,4
objectif,4
former,4
professionnel,4
peur,4
chance,4
étranger,4
égalité,4
dignité,4
défendre,4
mali,4
principe,4
honneur,4
protection,4
réussite,4
intense,4
début,4
accord,4
simplifier,4
énergie,4
vert,4
numérique,4
réunir,4
respect,4
vouloir,4
irak,4
cherche,4
preuve,4
espéranc,4
soin,4
souffrance,4
combat,4
rassembler,4
pari,4
métropol,4
présente,4
céder,4
fixe,4
défi,4
démocrati,4
afriqu,4
baisse,4
bel,3
grave,3
zone,3
stabilité,3
connai,3
talent,3
salarier,3
élection,3
majeur,3
assurer,3
gagner,3
pacte,3
impôt,3
permettre,3
investir,3
créer,3
européen,3
fixer,3
suite,3
retraite,3
ensemble,3
marché,3
espérance,3
chômeur,3
activité,3
employeur,3
vent,3
préparer,3
moderniser,3
mandat,3
mission,3
achever,3
mémoire,3
oublier,3
terroriste,3
situation,3
connaître,3
citoyen,3
difficile,3
international,3
améliorer,3
devenir,3
école,3
accès,3
réduire,3
baisser,3
économie,3
développement,3
accomplir,3
réchauffement,3
climatique,3
industrie,3
meilleur,3
culture,3
négociable,3
avancer,3
affirmer,3
paix,3
utilisation,3
travers,3
élu,3
politique,3
frontière,3
initiative,3
pire,3
guerre,3
aujourd,3
instant,3
libérer,3
